stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,stop_timezone,level_id
A6146,6146,ГАРА СОФИЯ СЕВЕР,,42.72665786743164,23.313058853149414,0,,,
A1004,1004,ЛЕТИЩЕ ДОБРОСЛАВЦИ - ПО ЖЕЛАНИЕ,,42.81822967529297,23.313974380493164,0,,,
A1924,1924,УЛ. ГЕОРГИ МИНЧЕВ,,42.6899299621582,23.359012603759766,0,,,
A2156,2156,УЛ. РЕСЕНСКА ПОЛЯНА,,42.70943832397461,23.345216751098633,0,,,
TB0623,0623,Ж.К. ИВАН ВАЗОВ,,42.67700958251953,23.30331802368164,0,,,
TM1255,1255,ПЕТА ГРАДСКА БОЛНИЦА,,42.71367645263672,23.314434051513672,0,,,
A2506,2506,ПЪТЕН ВЪЗЕЛ КАЛОТИНА,,42.7762565612793,23.180280685424805,0,,,
A0850,0850,КВ. КЛИСУРА,,42.719146728515625,23.08347511291504,0,,,
A0998,0998,ЛАГЕРА,,42.5118293762207,23.365018844604492,0,,,
A2532,2532,ПО ЖЕЛАНИЕ - ШОЛЦ БЪЛГАРИЯ,,42.753238677978516,23.494596481323242,0,,,
TM1969,1969,УЛ. ЙОСИФ ЩРОСМАЙЕР,,42.71169662475586,23.301034927368164,0,,,
A0511,0511,ЧИТАЛИЩЕ СВ.СВ. КИРИЛ И МЕТОДИЙ,,42.72220993041992,23.270490646362305,0,,,
TB1319,1319,ПЛ. СТОЧНА ГАРА,,42.704166412353516,23.332927703857422,0,,,
A2602,2602,УЛ. ИСКЪР БОЖУРИЩЕ,,42.7675666809082,23.194414138793945,0,,,
A2024,2024,АВТОСТАНЦИЯ ИЗТОК,,42.703208923339844,23.38633155822754,0,,,
A0080,0080,АП ЗЕМЛЯНЕ,,42.682743072509766,23.278718948364258,0,,,
A2570,2570,БЛ. 13 Ж.К. ЗАПАДЕН ПАРК,,42.701961517333984,23.281749725341797,0,,,
A6347,6347,УЛ. УЧЕНИЧЕСКА,,42.71232986450195,23.15094566345215,0,,,
A2297,2297,СТАРАТА ФУРНА - ПО ЖЕЛАНИЕ,,42.843143463134766,23.322124481201172,0,,,
TM2261,2261,УЛ. РАЙСКА ГРАДИНА,,42.66082763671875,23.24851417541504,0,,,
A6773,6773,КРАЯ С. МРАМОР-ВРЕМЕННА,,42.78837203979492,23.272706985473633,0,,,
A2031,2031,УЛ. ЛИЛЯЧЕ,,42.68758773803711,23.265945434570312,0,,,
A2715,2715,КОШАРИТЕ,,42.66078567504883,23.209754943847656,0,,,
A1502,1502,САТИРИЧЕН ТЕАТЪР,,42.69186782836914,23.325531005859375,0,,,
TB0662,0662,Ж.К. МЛАДОСТ-1,,42.65110778808594,23.36748695373535,0,,,
A1730,1730,ТЕЛЕВИЗИОННА КУЛА,,42.677188873291016,23.341140747070312,0,,,
M305,305,ХАДЖИ ДИМИТЪР,,42.70270538330078,23.352645874023438,0,,,
A2321,2321,ХОТЕЛ МАКСИ,,42.6429557800293,23.334463119506836,0,,,
A1017,1017,МЕТРОСТАНЦИЯ ЦАРИГРАДСКО ШОСЕ,,42.649173736572266,23.393587112426758,0,,,
A2114,2114,УЛ. ПИРОТСКА,,42.70181655883789,23.310697555541992,0,,,
A2871,2871,ХИЖА АЛЕКО,,42.583316802978516,23.292236328125,0,,,
TB2869,2869,Ловен парк,,42.66960144042969,23.33261489868164,0,,,
A1343,1343,ПК ДИАНА,,42.66517639160156,23.34286880493164,0,,,
A2381,2381,СТУДЕНТСКИ ГРАД,,42.64527893066406,23.333614349365234,0,,,
A2869,2869,ЛОВЕН ПАРК,,42.66960144042969,23.33261489868164,0,,,
A6744,6744,УЛ. ГЕОРГИ ВОЙТЕХ,,42.64647674560547,23.272764205932617,0,,,
A1422,1422,ПЪРВА ГРАДСКА БОЛНИЦА,,42.68891906738281,23.32312774658203,0,,,
A0720,0720,НУ ЗА ТАНЦОВО ИЗКУСТВО,,42.678524017333984,23.365325927734375,0,,,
A2870,2870,ХИЖА АЛЕКО,,42.58340072631836,23.291946411132812,0,,,
A0289,0289,БУЛ. БРАТЯ БЪКСТОН,,42.6745719909668,23.27880859375,0,,,
A6471,6471,УЛ. МИТРОПОЛИТ КИРИЛ ВИДИНСКИ,,42.681270599365234,23.335792541503906,0,,,
A2090,2090,УЛ. ОРИОН,,42.71820831298828,23.279382705688477,0,,,
A2573,2573,УЛ. БУЛИНА ЛИВАДА,,42.7022819519043,23.28462028503418,0,,,
A6754,6754,УЛ.ОТЕЦ ГЕНАДИЙ - ВРЕМЕННА,,42.624961853027344,23.316062927246094,0,,,
A0563,0563,МАХАЛА ЕЛАТА,,42.50102233886719,23.37225341796875,0,,,
TB1821,1821,Ул. Алеко Константинов,,42.69635009765625,23.34926414489746,0,,,
TB2859,2859,Ловен парк,,42.66971969604492,23.332275390625,0,,,
TM2336,2336,ЦЕНТРАЛНИ ХАЛИ,,42.70001983642578,23.32241439819336,0,,,
A2042,2042,УЛ. МАКГАХАН,,42.70649719238281,23.350177764892578,0,,,
A2624,2624,РЕЗИДЕНШЪЛ ПАРК СОФИЯ,,42.62308883666992,23.37104606628418,0,,,
A0726,0726,ЗАГ ДИНАМИК АД,,42.731876373291016,23.316917419433594,0,,,
A2089,2089,УЛ. ОРЕХОВА ГОРА,,42.66954803466797,23.297460556030273,0,,,
A6507,6507,МЕТРОСТАНЦИА К. ВЕЛИЧКОВ,,42.70187759399414,23.298664093017578,0,,,
A1262,1262,ПЕТТЕ МОГИЛИ,,42.733154296875,23.390132904052734,0,,,
TB1728,1728,ТЕАТЪР СОФИЯ,,42.69606399536133,23.347549438476562,0,,,
A6742,6742,Ж.К. ЗАПАДЕН ПАРК,,42.70071029663086,23.275959014892578,0,,,
A6633,6633,РЕЗИДЕНЦИЯ БОЯНА - ВРЕМЕННА,,42.64813995361328,23.269855499267578,0,,,
A6535,6535,Ул.3-ти март-временна,,42.695533752441406,23.230146408081055,0,,,
A1474,1474,РЕСТОРАНТ ЗЛАТНАТА РИБКА - ПО ЖЕЛАНИЕ,,42.56111526489258,23.451740264892578,0,,,
A6348,6348,УЛ. ЖАН ДЬО ЛАФОНТЕН,,42.71257400512695,23.145954132080078,0,,,
A6781,6781,УЛ. КИРИЛ БЛАГОЕВ - ВРЕМЕННА,,42.75071334838867,23.320261001586914,0,,,
A6743,6743,Ж.К. ЗАПАДЕН ПАРК,,42.70087432861328,23.276155471801758,0,,,
A0649,0649,"Ж.К. ЛЮЛИН-1,2",,42.72992706298828,23.247150421142578,0,,,
TM0411,0411,Бл. 4 ж.к. Сухата река,,42.69934844970703,23.36577033996582,0,,,
A0205,0205,МБАЛ ТОКУДА БОЛНИЦА,,42.667545318603516,23.325454711914062,0,,,
A6777,6777,УЛ. ХИСАРЯ - ВРЕМЕННА,,42.71240234375,23.15143394470215,0,,,
A1264,1264,ПЛ. АЛ.НЕВСКИ,,42.69652557373047,23.330223083496094,0,,,
A1501,1501,САТИРИЧЕН ТЕАТЪР,,42.69226837158203,23.326322555541992,0,,,
A1265,1265,ПЛ. АЛ.НЕВСКИ,,42.69636535644531,23.33006477355957,0,,,
A1423,1423,ПЪРВА ГРАДСКА БОЛНИЦА,,42.689544677734375,23.323333740234375,0,,,
A6775,6775,УЛ. ПЕТЪР МИТОВ - ВРЕМЕННА СПИРКА,,42.691890716552734,23.363142013549805,0,,,
A0767,0767,ИНСТИТУТ ПО ЧЕРНА МЕТАЛУРГИЯ - ПО ЖЕЛАНИЕ,,42.74769592285156,23.50868797302246,0,,,
A6303,6303,УЛ. СЪЗНАНИЕ,,42.71774673461914,23.342920303344727,0,,,
A6548,6548,ПЛ.ЛЪВОВ МОСТ,,42.70473098754883,23.32526206970215,0,,,
TM1778,1778,КВ. ТРИЪГЪЛНИКА,,42.7197265625,23.309185028076172,0,,,
A0750,0750,ЗООПАРКА,,42.65827178955078,23.336671829223633,0,,,
TM2260,2260,УЛ. РАЙСКА ГРАДИНА,,42.66095733642578,23.249032974243164,0,,,
TM1495,1495,РУСКО ПОСОЛСТВО,,42.67270278930664,23.347492218017578,0,,,
TM0381,0381,УЛ. ХАН КУБРАТ,,42.72394561767578,23.304853439331055,0,,,
A0882,0882,КВ. ОВЧА КУПЕЛ,,42.6722412109375,23.27206039428711,0,,,
A6693,6693,СЕЛО НЕГОВАН - ВРЕМЕННА,,42.76894760131836,23.405155181884766,0,,,
TM2595,2595,Ж.К. ГЕО МИЛЕВ,,42.67710494995117,23.37060546875,0,,,
A0544,0544,РИТЕКС АД,,42.66495132446289,23.461883544921875,0,,,
TM0305,0305,БУЛ. ВЪЗКРЕСЕНИЕ,,42.69451141357422,23.29501724243164,0,,,
A0637,0637,Ж.К. КРАСНО СЕЛО,,42.678184509277344,23.28544044494629,0,,,
A1870,1870,УЛ. ВИТИНЯ,,42.700645446777344,23.373994827270508,0,,,
A2054,2054,УЛ. НАРОДНО ХОРО,,42.679931640625,23.269006729125977,0,,,
A1754,1754,УЛ. ВИТИНЯ,,42.70875930786133,23.369178771972656,0,,,
A6776,6776,УЛ. ХИСАРЯ - ВРЕМЕННА,,42.71224594116211,23.151304244995117,0,,,
A6474,6474,ЦЕНТРАЛЕН ГРОБИЩЕН ПАРК,,42.71164321899414,23.332311630249023,0,,,
A6532,6532,УЛ.БЕЛИ БРОД - ВРЕМЕННА,,42.69517135620117,23.220766067504883,0,,,
TB0014,0014,163-ТО ОУ,,42.64536666870117,23.40492820739746,0,,,
A6779,6779,УЛ. ДЖЕРМАН - ВРЕМЕННА,,42.754966735839844,23.320819854736328,0,,,
A6780,6780,УЛ. КИРИЛ БЛАГОЕВ - ВРЕМЕННА,,42.75119400024414,23.320417404174805,0,,,
A2421,2421,УЛ. ПЛОВДИВ,,42.708961486816406,23.2997989654541,0,,,
A6705,6705,ул.Крушва градина - временна,,42.628456115722656,23.316389083862305,0,,,
A1333,1333,ЦЕНТРАЛНА ГАРА,,42.7108039855957,23.320152282714844,0,,,
TB2105,2105,УЛ. ОХРИД,,42.70874786376953,23.31317138671875,0,,,
A0177,0177,ПРОМИШЛЕНА ЗОНА Ж.К. ДРУЖБА 1,,42.671478271484375,23.38226890563965,0,,,
A0558,0558,ЕЗЕРОТО,,42.661865234375,23.396774291992188,0,,,
A0907,0907,ПЪТЕН ВЪЗЕЛ ФИЛИПОВЦИ,,42.717926025390625,23.234050750732422,0,,,
A1352,1352,ПО ЖЕЛАНИЕ,,42.73401641845703,23.267637252807617,0,,,
TM0881,0881,Кв. Овча купел,,42.67121124267578,23.273069381713867,0,,,
A0032,0032,36-ТО СОУ,,42.67348098754883,23.285932540893555,0,,,
A1289,1289,ПЛ. ОРЛОВ МОСТ,,42.690303802490234,23.336395263671875,0,,,
A1321,1321,ПЛ. СТОЧНА ГАРА,,42.70442199707031,23.33055305480957,0,,,
A2456,2456,СТОКОВ БАЗАР ИЛИЯНЦИ,,42.74071502685547,23.317838668823242,0,,,
A6140,6140,УЛ.БУРЯ,,42.66905212402344,23.244749069213867,0,,,
A6307,6307,УЛ. МАКГАХАН-ВРЕМЕННА,,42.70846939086914,23.350757598876953,0,,,
A0041,0041,66-ТО СОУ,,42.67242431640625,23.26175308227539,0,,,
A0460,0460,ГАРА ОБЕЛЯ,,42.73904800415039,23.26454734802246,0,,,
TM0744,0744,СОФАРМА АД,,42.7358283996582,23.317485809326172,0,,,
A2258,2258,УЛ. ЧЕРКОВНА,,42.693416595458984,23.352109909057617,0,,,
A6508,6508,УЛ. ЦАР СИМЕОН,,42.70482635498047,23.298633575439453,0,,,
A6487,6487,МЕТРОСТАНЦИЯ СУ СВ. КЛИМЕНТ ОХРИДСКИ,,42.692264556884766,23.335479736328125,0,,,
A0853,0853,АВТОСТАНЦИЯ КНЯЖЕВО,,42.65862274169922,23.24036979675293,0,,,
A6441,6441,КВ.ОВЧА КУПЕЛ,,42.673404693603516,23.252580642700195,0,,,
